# BEAST v10.5.0
# Generated Tue Aug 18 21:36:14 EEST 2026 [seed=1787078157934]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	age(SAMN36729068_SRR25438644)	treeLikelihood	branchRates	coalescent
40000	-5603539.874672876	-63.98950550346736	-5603475.885167372	153.95491622095943	1868.5450837790406	482.15150308993543	83.54608168426486	5.500503709667653	0.15960444359835108	0.3499940768363869	0.3349169116230224	0.15548456794223967	0.3647437385729753	3.2086766128789567E-7	3.2086766128789567E-7	0.0	-5603475.885167372	0.0	-61.31314964986084
41000	-5603540.27859702	-60.644766524831695	-5603479.633830495	115.3926611659269	1907.107338834073	371.05129819817495	53.58632380000526	7.101520513907212	0.15960444359835108	0.3499940768363869	0.3349169116230224	0.15548456794223967	0.27150969363829186	4.784239459771241E-7	4.784239459771243E-7	0.0	-5603479.633830495	0.0	-57.90618739147394
42000	-5603540.052823928	-60.07967819142711	-5603479.973145736	120.32470542291225	1902.1752945770877	374.96315644413437	30.399497079327706	7.3858871774198365	0.15960444359835108	0.3499940768363869	0.3349169116230224	0.15548456794223967	0.22067882287650217	4.399270006909683E-7	4.399270006909684E-7	0.0	-5603479.973145736	0.0	-58.01556327035411
43000	-5603534.712034606	-64.89229354578387	-5603469.819741061	116.16980576317937	1906.3301942368207	366.7964689107078	117.84269997172568	6.510996249487535	0.15960444359835108	0.3499940768363869	0.3349169116230224	0.15548456794223967	0.1852545385298325	4.617914432050197E-7	4.617914432050197E-7	0.0	-5603469.819741061	0.0	-61.62439483189521
44000	-5603533.868511436	-58.02369697325335	-5603475.844814463	94.407828727766	1928.092171272234	307.18777638704404	47.1387571285329	6.091652684764921	0.15960444359835108	0.34989957366443225	0.33501141479497704	0.15548456794223967	0.22140106136596174	5.280351875855382E-7	5.280351875855382E-7	0.0	-5603475.844814463	0.0	-55.61622800759066
45000	-5603532.415152309	-56.08683515324698	-5603476.328317156	85.86618547253036	1936.6338145274697	274.2776393524346	30.60702350497591	7.09111222279876	0.15960444359835108	0.34989957366443225	0.33501141479497704	0.15548456794223967	0.16198289385027184	6.100462233968671E-7	6.10046223396867E-7	0.0	-5603476.328317156	0.0	-53.87955243638618
46000	-5603540.52195974	-59.33329039592282	-5603481.1886693435	102.40163610330836	1920.0983638966916	338.36200432334897	49.87685677916001	5.20438656220572	0.15960444359835108	0.34989957366443225	0.33501141479497704	0.15548456794223967	0.36663185995133946	5.167072578401381E-7	5.167072578401381E-7	0.0	-5603481.1886693435	0.0	-56.86615858464472
47000	-5603538.895267822	-67.27408466759279	-5603471.621183154	167.06443570254183	1855.435564297458	545.5991999165198	75.26655724666817	6.082912870873892	0.15960444359835108	0.34989957366443225	0.33501141479497704	0.15548456794223967	1.3144986046547127	3.061009416600848E-7	3.061009416600848E-7	0.0	-5603471.621183154	0.0	-62.74682884394416
48000	-5603537.981858346	-66.07438139334553	-5603471.907476952	127.61064819048366	1894.8893518095163	407.5098410320774	82.16694278528647	5.781993603519712	0.15960444359835108	0.34989957366443225	0.33501141479497704	0.15548456794223967	1.9077978775191726	4.1726070968931197E-7	4.172607096893119E-7	0.0	-5603471.907476952	0.0	-60.04125212123634
49000	-5603540.955984821	-64.55095134495043	-5603476.405033476	119.96916928269775	1902.5308307173023	399.359994199315	37.83667909415286	5.502224176974728	0.15960444359835108	0.34989957366443225	0.33501141479497704	0.15548456794223967	1.694771519870543	4.2290489651467515E-7	4.229048965146752E-7	0.0	-5603476.405033476	0.0	-59.81885172021921
50000	-5603535.558883503	-62.51981210837064	-5603473.039071395	103.0570860298037	1919.4429139701963	325.2811222039605	65.72067301711331	5.618118086060965	0.15960444359835108	0.34989957366443225	0.33501141479497704	0.15548456794223967	1.5624336392846112	5.316451152067706E-7	5.316451152067705E-7	0.0	-5603473.039071395	0.0	-57.225526250988636
51000	-5603538.152760509	-65.5039533198965	-5603472.648807189	141.90352596624294	1880.596474033757	444.55600919886103	55.667659289231636	6.2894412823391095	0.15960444359835108	0.34989957366443225	0.33501141479497704	0.15548456794223967	2.113782354217804	3.908212765961887E-7	3.908212765961887E-7	0.0	-5603472.648807189	0.0	-59.42352763560842
52000	-5603540.174293161	-66.93663216174988	-5603473.237660999	177.5622188154988	1844.937781184501	574.6425167342774	71.23884299694382	6.282097025899916	0.15960444359835108	0.3500559402750864	0.3348550481843229	0.15548456794223967	0.9025220614828651	2.8239114882054423E-7	2.8239114882054423E-7	0.0	-5603473.237660999	0.0	-63.309385009571656
53000	-5603536.726774125	-63.04441643311514	-5603473.682357692	151.98494628835792	1870.5150537116422	478.1930696289576	61.93103328115379	6.937325194694456	0.15960444359835108	0.3502238760713528	0.3346871123880565	0.15548456794223967	0.25639492915932255	3.5655200599247673E-7	3.5655200599247673E-7	0.0	-5603473.682357692	0.0	-60.49458663026662
54000	-5603544.212097848	-62.53302851340684	-5603481.679069335	137.28041487716405	1885.219585122836	438.05898588713876	65.39225156171565	6.0240349441808965	0.15960444359835108	0.350438908464367	0.3344720799950423	0.15548456794223967	0.22207839596498843	3.8428476937271375E-7	3.8428476937271375E-7	0.0	-5603481.679069335	0.0	-60.13218772991575
55000	-5603542.07752145	-60.53490731748941	-5603481.542614132	132.33933503956567	1890.1606649604344	405.72919894429947	42.595902277846626	6.425032203998885	0.15960444359835108	0.350438908464367	0.3344720799950423	0.15548456794223967	0.4140779498816592	3.8577536744496783E-7	3.8577536744496793E-7	0.0	-5603481.542614132	0.0	-58.06222929948677
56000	-5603543.17967052	-64.56430060086453	-5603478.61536992	151.10821664099524	1871.3917833590049	489.1900582423381	93.03286342366306	5.821482997577751	0.15960444359835108	0.350438908464367	0.3344720799950423	0.15548456794223967	0.0702949882642154	3.865190842432086E-7	3.8651908424320863E-7	0.0	-5603478.61536992	0.0	-62.1907154653389
57000	-5603537.584177905	-62.8060295550937	-5603474.778148349	142.70807826251362	1879.7919217374863	468.31998237994463	52.317197166304915	5.986915251685199	0.15960444359835108	0.350438908464367	0.3348892131902082	0.15506743474707374	0.12618182125878447	3.563595803205614E-7	3.563595803205614E-7	0.0	-5603474.778148349	0.0	-60.91335153993099
58000	-5603532.214056885	-56.53053493840561	-5603475.683521947	93.87402934168735	1928.6259706583126	294.54987738720035	28.43598660757293	6.494255108316927	0.15960444359835108	0.350438908464367	0.3348892131902082	0.15506743474707374	0.1302173897339468	5.625091038160161E-7	5.625091038160162E-7	0.0	-5603475.683521947	0.0	-54.67807973607075
59000	-5603540.587007768	-58.69681435878481	-5603481.890193409	116.83456906977553	1905.6654309302244	358.8680740627879	42.53677128935146	5.714607958326106	0.15984763854012302	0.3502374776064776	0.3348892131902082	0.15502567066319115	0.2551619025707683	4.695648549425809E-7	4.695648549425808E-7	0.0	-5603481.890193409	0.0	-56.56105324254225
60000	-5603541.260628308	-62.39600884327196	-5603478.864619465	136.28112735101035	1886.2188726489896	432.56374479358226	47.513605547102934	6.769377349391707	0.15984763854012302	0.3502374776064776	0.3348534697232854	0.15506141413011393	0.5860569471337669	3.8479722561155477E-7	3.8479722561155466E-7	0.0	-5603478.864619465	0.0	-59.41676627068556
